Mode,Temp,Fan Level,Vane Position,Code,,,
Off,,,,26004c026a390e2a0d2c0d0f0e0f0e0e0d2b0d100e0e0d2b0e2b0d0f0d2c0d0f0e0e0d2c0d2b0e0f0d2b0e2a0d100d0f0d2b0d100c100e2a0e0f0d0f0d0f0d100e0e0d0f0e0f0d0f0d100c100e0e0d100d0f0d0f0d100d0f0d0f0d0f0d100d0f0e0e0d100d0f0d0f0e0f0c100e2a0d100c100e0e0e0f0e2a0e0e0e0f0c2c0d0f0d100c100d100c100d0f0d100d0f0e2a0e2b0e0f0c100e0e0d100d0f0d0f0e0f0c100e2a0e0f0d0f0e0e0e0f0d0f0e0e0d100d0f0d0f0d100c100e0e0e0e0e0f0f0d0d100d0f0d100d0f0d0f0d100d0f0e0e0e0f0e0e0d0f0d100d0f0e0e0d100d100f0d0d100c100d0f0d100c100d100c100d0f0d100e0e0f0e0e0e0d100d0f0d0f0d100d0f0e0e0e0f0d0f0e0e0d100c100d0f0d100d0f0e2a0d2c0e0e0d2b0e0f0c100d2b0e00022e733a0d2b0d2b0e0f0e0e0d100c2c0d0f0d100c2c0d2b0e0f0d2b0d0f0d100e2a0d2b0e0f0e2a0d2b0e0f0d0f0d2c0d0f0d0f0e2b0c100d0f0d100d0f0e0e0d100d0f0e0e0e0f0d0f0e0f0d0f0e0e0e0f0d0f0d0f0e0e0e0f0d0f0d100d0f0d0f0d100d0f0d0f0d100d2b0e0f0d0f0d0f0d100c2c0d0f0e0f0c2c0e0e0d100d0f0d0f0e0f0c100e0f0d0f0d2b0e2a0e0f0e0e0e0e0d100d0f0e0e0e0f0d0f0d2b0e0f0d0f0d0f0d100c100e0e0e0f0c100d100d0f0d0f0e0f0c100d0f0d100d0f0d0f0d100d0f0e0e0d100d0f0d100d0f0d0f0d100c100e0e0e0e0d100d0f0d100d0f0e0e0e0f0c100d0f0d0f0e0f0d0f0d100c100d0f0e0f0c100d0f0d100d0f0e0f0c100d100d0f0d0f0e0e0d100c100e0e0e0f0d2b0e2a0d100d2b0d0f0e0f0d2b0d000d0500000000000000000000,,,
Heat,25,Auto,Auto,26004c0269390e2b0d2b0d0f0e0f0c100e2b0c100e0e0e2b0c2c0e0e0d2c0d0f0d0f0d2c0d2b0d0f0d2c0d2b0d100d0f0e2b0d0f0d0f0d2b0e0f0d0f0d0f0d100d0f0e0e0d100f0d0d100d0f0d0f0e0f0c100e0e0e0f0d0f0e0e0e0f0d0f0d0f0d2c0d0f0d0f0d100e0e0f0e0c2c0e0f0c100d100c100d2b0d100e0e0d2b0e0f0d0f0d100c100d0f13090d100d0f0d2b0e2b0e0e0d100c100d100c100d100c100e0e0e2b0d0f0e0e0d0f0d100d0f0e0e0e0f0d0f0d0f0d100c100d0f0d100e0e0e0e0d100d0f0e0e0e0f0c100d0f0e0f0c100e0e0d100d0f0f0e0e0e0d100d0f0d0f0e0f0e0e0e0e0e0f0d0f0d0f0d100c100d0f0d100d0f0e0e0e0f0c100d0f0e0f0e0e0e0e0d100e0e0e0f0c100e0f0d0f0e0e0e0f0d0f0d2b0e2b0c100e2a0e2a0d100d2b0e00023374390e2b0d2b0d0f0e0f0c100d2b0d100d0f0d2b0d2c0d0f0d2c0c100d0f0e2b0e2a0e0e0d2c0d2b0e0f0d0f0e2a0d100d0f0d2b0e0f0e0e0d0f0d100c100d0f0e0f0d0f0d0f0e0f0d0f0d0f0d100c100e0e0d100d0f0e0e0d100c100e2b0d0f0e0f0c100d100d0f0d2b0e0f0c100d0f0d100d2b0d100d0f0e2a0f0e0d0f0e0e0d100d0f0d0f0d100e0e0e2a0e2b0d0f0d0f0e0f0d0f0d0f0e0f0c100e0e0d2b0e0f0d0f0d0f0d100e0e0d100c100d0f0e0f0c100d0f0e0f0d0f0d0f0d0f0d100e0e0e0e0e0f0d0f0d0f0e0f0d0f0e0e0e0f0d0f0d0f0d100d0f0d100d0f0d0f0e0e0d100d0f0e0e0d100c100d0f0d100d0f0e0f0c100d0f0e0f0c100e0e0e0f0c100e0e0d0f0d100e0e0d0f0e0f0c100d100c100e2a0e2a0d100d2b0e2a0d100d2b0e000d0500000000000000000000,,,
Heat,24,Auto,Auto,26004c026a390d2b0e2a0e0f0e0e0d100c2c0d0f0d100d2b0e2a0d0f0d2c0d0f0e0f0d2b0d2b0e0f0d2b0e2a0e0f0d0f0d2b0e0f0d0f0e2a0e0f0d0f0e0e0d100e0e0e0e0e0f0f0e0c100d0f0d100d0f0d0f0e0f0c100e0e0e0f0d0f0d0f0d0f0d2c0e0e0e0f0c100e0e0e0f0d2c0e0e0e0e0d100d0f0e0f0c100e0e0e2b0e0e0e0e0d100d0f0d100d0f0d0f0d0f0e2b0d2b0e0f0d0f0e0f0c100d0f0d100d0f0d0f0e2a0d100d0f0e0f0c100e0e0e0f0e0e0d0f0e0f0d0f0d0f0f0e0d0f0e0f0c100e0e0d100d0f0e0e0e0f0c100d0f0d0f0d100d0f0e0f0c100e0e0e0f0d0f0e0e0e0f0d0f0d0f0d100e0e0d0f0e0f0c100e0e0e0f0d0f0d0f0d0f0e0f0c100d0f0d100d0f0e0e0d100d0f0d0f0d100c100d0f0d100d2b0e0f0c2c0e0e0d2c0c2c0d0f0e2b0d00022e733a0e2a0e2b0c100d100d0f0e2a0e0f0d0f0e2a0e2b0e0e0e2a0d100e0e0d2b0e2b0d0f0e2b0e2e090f0d100d2b0d0f0e0f0d2b0d0f0e0f0e0e0e0e0e0f0d0f0e0e0e0f0d0f0d0f0d100e0e0e0e0e0f0d0f0e0e0e0f0c100e0e0e0f0c2c0d0f0e0f0d0f0e0e0d100e2a0d0f0e0f0d0f0e0f0d0f0e0e0e0f0e2a0e0e0d100d0f0d0f0d100d0f0d0f0d0f0d2c0e2a0e0f0e0e0d0f0d100e0e0d100c100d0f0e2b0d0f0e0f0c100d0f0e0e0d100c100e0e0e0f0d0f0e0e0d0f0e0f0d0f0d0f0d100d0f0d100c100e0e0d100d0f0e0e0e0f0d0f0e0e0e0e0d100e0e0d100e0e0d0f0e0f0d0f0d0f0d100e0e0d100d0f0e0e0d0f0e0f0d0f0e0e0d100c100e0e0d100c100e0e0e0f0d0f0e0e0e0f0d0f0e0e0e0f0d2b0d0f0d2c0e0e0d2b0e2b0d0f0e2a0e000d0500000000000000000000,,,
Heat,23,Auto,Auto,26004c026a390e2a0e2a0e0f0e0e0d0f0e2b0c100e0e0e2b0e2a0e0e0e2b0e0e0e0f0c2c0e2a0e0f0d2b0e2a0d100c100e2a0e0f0e0e0e2a0d100e0e0e0e0d100e0e0d0f0e0f0d0f0e0e0d100d0f0e0f0d0f0d0f0e0e0d100d0f0e0e0d100d0f0e2a0e0f0e0e0e0e0e0f0d0f0e2b0c100e0e0e0f0d0f0d2b0e2b0d2b0e0e0e0f0d0f0e0f0d0f0e0e0e0e0d100e0e0e2b0d2b0e0e0d100c100e0e0d100d0f0d0f0d100d2b0d0f0e0f0e0e0e0e0e0f0c100e0e0d100d0f0d0f0d100e0e0e0e0e0f0d0f0e0e0e0f0e0e0d0f0e0f0c100e0e0d100d0f0e0e0e0f0c100e0e0e0e0e0f0d0f0e0f0c100e0e0f0e0f0e0d0f0e0e0d100d0f0e0f0d0f0e0e0e0e0e0f0c100e0e0e0f0c100e0e0d100c100d0f0d100e0e0e0e0d100c100d0f0e2b0d0f0d2c0e2a0f0e0d2b0d00022e743a0d2b0e2a0e0e0e0f0d0f0d2c0d0f0e0e0e2b0d2b0e0e0d2c0d0f0e0e0d2b0d2c0d0f0d2c0e2a0d0f0e0f0e2a0e0e0e0f0d2b0d0f0e0f0d0f0e0f0d0f0d0f0d100d0f0d100d0f0e0e0e0e0e0f0e0e0d100c100d0f0d100f0d0d100c2c0e0e0d0f0e0f0e0e0d100d2b0e0e0e0f0d0f0d0f0e2b0d2b0d2b0e0f0c100d0f0d100e0e0d0f0d100d0f0d0f0e2b0e2a0d0f0d100d0f0d100c100e0e0d100c100e2a0d100d0f0e0e0e0e0d100d0f0d0f0d100e0e0f0e0d0f0e0f0e0e0d0f0d100d0f0e0e0d100d0f0d0f0d0f0d100d0f0e0e0d100e0e0e0e0e0f0d0f0d100c100e0e0e0f0c100d0f0e0f0e0e0e0f0d0f0e0e0e0f0e0e0e0e0e0f0d0f0d100d0f0c100e0e0d100d0f0d100d0f0d0f0e0f0d0f0d0f0e0e0d100e2a0e0e0e2b0d2b0d0f0e2b0f000d0500000000000000000000,,,
Heat,22,Auto,Auto,26004c026a390e2a0e2a0e0f0e0e0d0f0e2b0c100e0e0e2b0e2a0e0e0e2b0e0e0e0f0c2c0e2a0e0f0d2b0e2a0d100c100e2a0e0f0e0e0e2a0d100e0e0e0e0d100e0e0d0f0e0f0d0f0e0e0d100d0f0e0f0d0f0d0f0e0e0d100d0f0e0e0d100d0f0e2a0e0f0e0e0e0e0e0f0d0f0e2b0c100e0e0e0f0d0f0d2b0e2b0d2b0e0e0e0f0d0f0e0f0d0f0e0e0e0e0d100e0e0e2b0d2b0e0e0d100c100e0e0d100d0f0d0f0d100d2b0d0f0e0f0e0e0e0e0e0f0c100e0e0d100d0f0d0f0d100e0e0e0e0e0f0d0f0e0e0e0f0e0e0d0f0e0f0c100e0e0d100d0f0e0e0e0f0c100e0e0e0e0e0f0d0f0e0f0c100e0e0f0e0f0e0d0f0e0e0d100d0f0e0f0d0f0e0e0e0e0e0f0c100e0e0e0f0c100e0e0d100c100d0f0d100e0e0e0e0d100c100d0f0e2b0d0f0d2c0e2a0f0e0d2b0d00022e743a0d2b0e2a0e0e0e0f0d0f0d2c0d0f0e0e0e2b0d2b0e0e0d2c0d0f0e0e0d2b0d2c0d0f0d2c0e2a0d0f0e0f0e2a0e0e0e0f0d2b0d0f0e0f0d0f0e0f0d0f0d0f0d100d0f0d100d0f0e0e0e0e0e0f0e0e0d100c100d0f0d100f0d0d100c2c0e0e0d0f0e0f0e0e0d100d2b0e0e0e0f0d0f0d0f0e2b0d2b0d2b0e0f0c100d0f0d100e0e0d0f0d100d0f0d0f0e2b0e2a0d0f0d100d0f0d100c100e0e0d100c100e2a0d100d0f0e0e0e0e0d100d0f0d0f0d100e0e0f0e0d0f0e0f0e0e0d0f0d100d0f0e0e0d100d0f0d0f0d0f0d100d0f0e0e0d100e0e0e0e0e0f0d0f0d100c100e0e0e0f0c100d0f0e0f0e0e0e0f0d0f0e0e0e0f0e0e0e0e0e0f0d0f0d100d0f0c100e0e0d100d0f0d100d0f0d0f0e0f0d0f0d0f0e0e0d100e2a0e0e0e2b0d2b0d0f0e2b0f000d0500000000000000000000,,,
Heat,21,Auto,Auto,26004c026a390d2b0e2a0e0f0d0f0e0f0d2b0e0e0d100d2b0e2a0d0f0e2b0d0f0d100d2b0d2b0d100d2b0e2a0d100d0f0e2b0d0f0d0f0e2b0c100d0f0e0f0c100e0e0d100d0f0f0e0c100e0e0d100d0f0d0f0e0f0d0f0e0e0e0f0d0f0d0f0d100c2c0e0e0e0f0d0f0f0d0f0e0d2c0e0e0d0f0d100d0f0d2c0d0f0e2a0d100d0f0e0f0d0f0d0f0e0f0c100d0f0d0f0d2c0e2a0e0f0d0f0e0e0e0f0d100c100d0f0e0f0e2a0e0e0d100c100d0f0e0f0c100d0f0e0f0c100d0f0d100e0e0d0f0e0f0d0f0d0f0d100c100d0f0d0f0e0f0e0e0d100e0e0d0f0e0f0f0d0e0f0d0f0d0f0d100e0e0e0f0e0e0e0e0e0f0d0f0d0f0d100c100d0f0e0f0d0f0d0f0d100c100e0e0e0f0d0f0d0f0d100c100d100d0f0e0f0c100e0e0e0e0d2c0e0e0e0e0e2b0c2c0e0e0e2b0d00022e733a0e2a0e2b0e0e0d100d0f0d2b0d100e0e0d2c0c2c0e0e0d2c0d0f0d0f0d2c0d2b0e0f0d2b0d2b0d100d0f0d2c0d0f0e0f0d2b0e0e0d100d0f0e0e0e0f0c100d100d0f0d0f0e0e0d100d0f0d0f0f0e0d0f0d100c100d0f0d100e0f0c2c0d0f0d100d0f0d0f0e0f0d2b0d0f0e0f0d0f0d100d2b0e0e0d2c0d0f0d100d0f0d0f0e0f0c100d0f0e0e0d100d2b0f2a0d100c100e0e0e0f0e0e0e0e0d100c100e2a0d100c100d0f0d100d0f0d100c100d0f0e0f0d0f0e0f0c100d0f0e0f0d0f0d0f0d100e0e0d0f0e0f0d0f0e0e0d100d0f0e0f0d0f0d100d0f0d0f0e0f0d0f0d0f0e0f0d0f0e0e0d0f0e0f0c100d100d0f0d0f0d100f0d0f0e0d0f0d0f0d100e0e0e0f0c100d0f0d100d0f0d0f0d100c100d0f0e0f0d2b0e0e0d0f0d2c0e2a0d100c2c0d000d0500000000000000000000,,,
Heat,20,Auto,Auto,26004c02693a0d2c0d2b0e0e0e0e0e0f0d2b0d100d0f0d2b0d2c0d0f0d2c0d0f0d0f0f2a0e2a0d100d2b0e2a0d100d0f0d2c0e0e0d0f0e2b0d0f0d0f0e0f0e0e0d100d0f0d0f0d100c100d0f0e0f0d0f0d0f0e0f0d0f0d100c100d0f0e0e0d100d2b0d100c100e0e0d100c100e2b0d0f0d100d0f0d0f0d0f0e0f0f2a0d0f0d100c100d0f0e0f0d0f0f0d0d100d0f0d2b0e2b0e0e0e0e0e0f0c100e0e0d0f0d100c100e2a0e0f0c100e0e0d100d0f0e0e0d100d0f0d0f0e0f0d0f0d0f0e0f0e0e0d0f0e0f0d0f0d0f0e0f0c100d0f0e0f0e0e0d0f0e0f0d0f0d100c100d0f0e0e0d100e0e0e0e0d100d0f0d0f0e0f0d0f0e0e0d100d0f0d100c100d0f0d100d0f0d0f0d100d0f0e0e0d100c100f0e0c100d100d0f0e0e0d2b0d100d0f0d100c2c0d2b0e0f0d2b0d00022e74390e2b0d2b0e0e0d100d0f0d2c0c100e0e0d2c0d2b0d100c2c0e0e0d100d2b0d2b0e0f0d2b0e2a0d100d0f0d2c0c100d0f0d2c0d0f0d100c100d0f0d100d0f0d0f0f0e0d0f0e0f0d0f0e0e0d100d0f0e0e0d100c100e0e0d100c100d2b0e0f0d0f0e0e0d100d0f0e2b0c100d0f0d100d0f0f0e0d0f0e2b0e0e0e0f0e0e0e0e0e0e0d100e0e0d0f0e0f0d2b0e2b0d0f0e0e0d0f0e0f0e0e0d0f0e0f0d0f0d2c0d0f0e0f0c100d0f0e0f0e0e0e0e0d100e0e0d0f0d100d0f0d100d0f0f0e0c100d100d0f0e0e0e0f0d0f0e0e0d100d0f0e0e0e0e0d100d0f0d100d0f0d100d0f0d0f0d100e0e0e0f0d0f0e0f0c100e0e0e0f0d0f0d0f0e0f0c100d0f0e0f0d0f0d0f0e0f0e0e0d0f0d100c100e0e0e0f0d0f0d2b0d100d0f0d100c2c0d2b0e0f0e2a0d000d0500000000000000000000,,,
Heat,19,Auto,Auto,26004c026b390e2b0c2c0e0e0e0f0d0f0c2c0d100d0f0e2a0d2c0d0f0e2a0e0f0d0f0d2b0e2b0d0f0d2c0d2b0d0f0e0f0d2b0f0e0e0e0d2b0e0f0e0e0e0f0d0f0f0e0d0f0d100c100d0f0e0f0d0f0d0f0e0f0c100e0e0d100d0f0d0f0d100c100d2c0d0f0e0f0c100d0f0e0f0d2b0e0f0c100e0e0d100e2a0f2a0e0e0d0f0e0f0c100e0e0e0f0c100d0f0e0f0e0e0e2a0e2b0d0f0e0f0d0f0e0e0d100d0f0d0f0d100d2b0e0f0d0f0e0e0e0e0e0f0e0e0d0f0d100c100e0e0d100d0f0e0e0e0f0f0d0e0f0c100e0f0d0f0d0f0e0f0c100e0e0e0f0e0e0d0f0e0f0d0f0d0f0d100d0f0d100d0f0d0f0e0f0d0f0e0e0e0f0d0f0d0f0e0f0e0e0e0e0e0f0e0e0e0e0e0f0c100e0e0e0f0d0f0e0f0d0f0d0f0d100d0f0e0f0d0f0d0f0e0f0c100d2b0e2b0e0e0e2a0e00023274390e2b0c2c0e0e0e0f0c100f2a0e0e0d0f0e2b0e2a0e0e0e2b0d0f0d100d2b0e2a0e0f0c2c0d2b0e0f0c100e2a0e0f0d0f0e2a0e0f0d0f0d0f0d100e0e0e0e0e0f0d0f0d100c100e0f0e0e0e0e0e0f0d0f0c100e0e0e0f0d0f0e0e0e2b0e0e0d0f0e0f0e0e0e0f0d2b0d0f0e0f0d0f0e0e0e2b0d2b0d100d0f0e0e0f0e0e0e0e0f0e0e0e0f0d0f0d0f0d2c0c2c0e0e0e0f0d0f0d100c100e0e0d0f0d100e2a0d0f0d100d0f0d100c100e0e0d100d0f0e0f0e0e0e0e0e0f0d0f0e0f0c100d0f0e0f0c100e0e0d100e0e0d0f0d100d0f0e0f0d0f0d0f0d100d0f0e0f0c100e0e0d100d0f0f0e0e0e0e0f0d0f0d0f0e0f0d0f0e0e0e0f0e0e0e0e0d100d0f0d0f0e0f0e0e0d0f0e0f0c100d100d0f0d0f0d0f0d100e0e0e0f0d0f0d2c0d2b0e0f0c2c0e000d0500000000000000000000,,,
Heat,18,Auto,Auto,26004c026a390e2b0c2c0d0f0d100d0f0d2b0d100d0f0d2b0e2b0d0f0d2b0d100d0f0f2a0e2a110c0d2b0e2b0d0f0e0f0c2c0e0e0d100c2c0e0e0d100d0f0e0e0e0f0d0f0e0e0d100c100d0f0d100e0e0d0f0e0f0d0f0d0f0d100d100c100e0e0d2c0c100e0e0e0f0c100d0f0e2b0d0f0e0e0d100d0f0d0f0d2c0d0f0e0e0e0f0c100d0f0d100d0f0e0e0d0f0d100d2b0d2b0e0f0e0e0e0f0c100d0f0d100e0e0d0f0e2b0c100d0f0d100d0f0d0f0d100c100e0f0c100d0f0d100d0f0e0e0d100e0e0d0f0d100d0f0d100c100f0d0d100d0f0e0e0e0f0e0e0d100d0f0e0e0e0e0e0f0d0f0e0e0e0f0d0f0e0e0d100c100d0f0d100d0f0d0f0d100d0f0d0f0d100e0e0d0f0e0f0d0f0e0e0e0f0c100d0f0e0f0c100e0e0e2b0d2b0e2b0d2b0d0f0e2b0c100e2b0c00022f733a0e2a0e2b0c100e0e0e0f0d2b0d0f0d100d2c0d2a0e0e0e2b0e0e0d100e2a0e2b0c100d2b0d2c0d0f0d0f0d2c0d0f0d100d2b0e0e0e0f0d0f0e0f0c100e0e0e0f0e0e0e0e0d100c100d0f0d100c100d0f0e0f0d0f0d0f0d100c100e2a0e0f0d0f0d100e0e0d0f0e2b0f0d0d0f0e0f0c100e0e0f2a0d0f0d100d0f0e0f0d0f0e0f0d0f0e0e0e0e0e0f0e2a0d2c0c100d0f0d100d0f0d0f0e0f0d0f0d100d2b0d100c100d0f0d100c100d100d0f0d100c100e0e0f0e0f0e0c100e0e0d100c100e0e0e0f0d0f0e0e0e0e0d100d0f0d0f0d100e0e0e0e0e0f0d0f0d100d0f0e0e0e0f0c100e0e0e0f0d0f0d100e0e0e0e0e0f0d0f0e0e0e0f0c100d100d0f0d0f0e0e0e0f0d0f0d100e0e0d0f0e0f0d0f0d0f0e2a0e2b0d2b0e2b0d0f0e2a0e0f0d2b0d000d0500000000000000000000,,,
Heat,17,Auto,Auto,26004c026a390e2a0d2c0d0f0e0e0e0f0c2c0e0e0d100c2c0e2a0f0e0d2b0e0f0c100d2b0e2b0c100e2a0e2b0d0f0d0f0d2c0e0e0d0f0d2c0d0f0d100c100e0e0d100d0f0e0f0e0e0d0f0e0f0d0f0d100d0f0d0f0d100d0f0d0f0e0f0e0e0e0f0c2c0e0e0d100c100d0f0e0f0d2b0d0f0d100c100e0e0e2b0e0e0d0f0e0f0d0f0d0f0d100c100d0f0d100e0e0d0f0e2b0d2b0e0f0e0e0e0f0d0f0e0e0e0e0d100d0f0e2b0c100e0e0e0f0e0e0d0f0e0f0d0f0e0e0d100c100e0e0d100d0f0e0e0d100d0f0d0f0d100e0e0e0f0c100d0f0d100d0f0d0f0d0f0e0f0d0f0e0e0d100e0e0d100d0f0d0f0d100d0f0d0f0d100e0e0e0e0d100e0e0e0e0d100c100d0f0e0e0d100d0f0e0f0d0f0d0f0e0f0d0f0e0e0e0f0c100e0e0d2c0e2a0e2a0d100e2a0e0f0c2c0f00023175380e2b0e2a0d100c100e0e0e2b0d0f0e0e0e2b0d2b0e0e0d2c0d0f0d100d2b0e2a0e0f0e2a0e2a0e0f0d0f0d2b0e0f0d0f0e2a0d100d0f0d100d0f0d0f0e0f0d0f0e0e0d100d0f0d100c100e0e0d100c100e0e0d100e0e0e0e0d100d2b0e0e0e0f0d0f0d0f0d100d2b0d0f0e0f0c100d0f0e2b0d0f0e0f0d0f0d0f0e0f0e0e0e0e0e0f0e0e0d0f0e0f0e2a0e2a0d100d0f0d100c100e0e0e0f0d0f0d0f0d2c0e0e0d100d0f0e0e0e0f0c100e0f0c100d0f0e0e0d100e0e0e0e0e0f0d0f0e0e0e0f0d0f0e0e0e0f0d0f0d0f0e0f0d0f0e0f0d0f0d0f0d100e0e0d0f0d100d0f0e0f0d0f0d100d0f0d0f0e0e0e0f0e0e0d0f0d100d0f0e0e0d100c100d0f0e0f0d0f0d100d0f0e0e0d100d0f0d0f0d100c100d0f0e2b0e2a0d2c0c100d2b0e0f0e2a0d000d0500000000000000000000,,,
